Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),votes16_trumpd,votes16_clintonh,Fips,Democrats08_Voteshare,Republicans08_Voteshare,Democrats12_Voteshare,Republicans12_Voteshare,Democrats16_Voteshare,Republicans16_Voteshare
2598.0,2630.0,3860.0,3887.0,3967.0,2364.0,5043,0.4022917311861257,0.5977082688138743,0.403559920208685,0.596440079791315,0.3734007265834781,0.6265992734165219
2144.0,2099.0,3972.0,4263.0,4917.0,1587.0,5087,0.35055591890124266,0.6494440810987574,0.32992769569317826,0.6700723043068217,0.24400369003690037,0.7559963099630996
1935.0,1845.0,3916.0,4136.0,4353.0,1544.0,13159,0.3307126986839856,0.6692873013160143,0.3084768433372346,0.6915231566627654,0.2618280481600814,0.7381719518399186
13191.0,12792.0,8181.0,9411.0,8153.0,12652.0,8037,0.6172094329028636,0.38279056709713644,0.5761383596811241,0.42386164031887585,0.6081230473443884,0.3918769526556116
2595.0,2442.0,5543.0,5214.0,5021.0,1836.0,13091,0.31887441631850577,0.6811255836814942,0.31896551724137934,0.6810344827586207,0.2677555782412134,0.7322444217587867
24162.0,25136.0,14008.0,12777.0,11295.0,28467.0,6025,0.6330102174482578,0.3669897825517422,0.6629915859995252,0.33700841400047477,0.7159348121321865,0.2840651878678135
29591.0,25431.0,15333.0,13815.0,12691.0,29514.0,13059,0.658690232392485,0.3413097676075149,0.6479896040360801,0.35201039596391986,0.6993010306835683,0.3006989693164317
1117.0,987.0,3286.0,3490.0,3755.0,701.0,8125,0.25369066545537133,0.7463093345446287,0.22046012955103864,0.7795398704489613,0.15731597845601436,0.8426840215439856
1487.0,1519.0,3043.0,3230.0,3508.0,1173.0,8099,0.3282560706401766,0.6717439293598234,0.3198568119604127,0.6801431880395873,0.25058748130741293,0.7494125186925871
14334.0,12688.0,28661.0,28280.0,29983.0,12422.0,13045,0.33338760320967553,0.6666123967903245,0.30970513571568054,0.6902948642843195,0.29293715363754275,0.7070628463624573
322220.0,301723.0,52292.0,47076.0,34493.0,312443.0,6075,0.8603729653522451,0.13962703464775494,0.8650340167259654,0.1349659832740346,0.900578204625637,0.09942179537436299
2315.0,2087.0,2705.0,2635.0,2569.0,1844.0,13317,0.46115537848605576,0.5388446215139442,0.4419737399407031,0.5580262600592969,0.41785633355993657,0.5821436664400634
68979.0,58922.0,57177.0,60608.0,70295.0,50336.0,17119,0.5467754209074479,0.4532245790925521,0.4929473772274743,0.5070526227725257,0.41727250872495464,0.5827274912750454
28611.0,28768.0,18651.0,21280.0,23384.0,22774.0,19061,0.6053700647454615,0.39462993525453854,0.5748081841432225,0.4251918158567775,0.49339226136314396,0.506607738636856
3843.0,3020.0,3947.0,4095.0,4884.0,2066.0,17005,0.49332477535301666,0.5066752246469833,0.4244553759662684,0.5755446240337315,0.29726618705035973,0.7027338129496403
5519.0,5357.0,4340.0,4424.0,4936.0,4272.0,19157,0.5597930824627244,0.4402069175372756,0.5476945097638278,0.45230549023617217,0.4639443961772372,0.5360556038227628
26548.0,26192.0,18995.0,19668.0,19111.0,25085.0,19169,0.5829216344992645,0.41707836550073557,0.5711295246402094,0.42887047535979067,0.5675853018372703,0.43241469816272965
4349.0,4460.0,4822.0,5035.0,5764.0,2897.0,19087,0.4742121906008069,0.5257878093991931,0.4697209057398631,0.5302790942601369,0.3344879344186584,0.6655120655813417
1900.0,1559.0,1378.0,1502.0,1762.0,1143.0,17155,0.5796217205613179,0.4203782794386821,0.5093106827834041,0.49068931721659587,0.3934595524956971,0.6065404475043029
1575.0,1356.0,6547.0,6668.0,7273.0,1239.0,13231,0.19391775424772223,0.8060822457522777,0.16899302093718843,0.8310069790628115,0.1455592105263158,0.8544407894736842
2212.0,1852.0,3866.0,3904.0,4507.0,1260.0,21033,0.36393550510036193,0.636064494899638,0.32175121612230717,0.6782487838776928,0.21848448066585746,0.7815155193341425
66042.0,62080.0,59884.0,60795.0,56890.0,69776.0,21067,0.5244508679700777,0.47554913202992233,0.5052288911495422,0.4947711088504578,0.5508660571897747,0.44913394281022534
13567.0,10625.0,17067.0,18083.0,20637.0,9841.0,18005,0.44287393092642163,0.5571260690735784,0.37010589382750453,0.6298941061724955,0.3228886409869414,0.6771113590130586
879.0,750.0,1699.0,1835.0,2094.0,432.0,21039,0.34096198603568656,0.6590380139643134,0.2901353965183752,0.7098646034816247,0.171021377672209,0.828978622327791
13255.0,11357.0,16791.0,17059.0,17387.0,10064.0,20103,0.4411568927644279,0.5588431072355721,0.39966920045045046,0.6003307995495496,0.36661688098794215,0.6333831190120578
1900.0,1727.0,1833.0,2069.0,2523.0,1074.0,17169,0.5089740155371015,0.49102598446289847,0.4549525816649104,0.5450474183350895,0.29858215179316094,0.7014178482068391
3404.0,2909.0,7018.0,7424.0,8665.0,1967.0,18047,0.32661677221262714,0.6733832277873729,0.281525210490661,0.718474789509339,0.18500752445447705,0.8149924755455229
13449.0,11491.0,16431.0,16655.0,19197.0,9109.0,26015,0.4501004016064257,0.5498995983935743,0.40826405173026364,0.5917359482697364,0.32180456440330674,0.6781954355966933
11501.0,11389.0,6549.0,6586.0,8160.0,8460.0,27017,0.6371745152354571,0.36282548476454296,0.6336022253129346,0.36639777468706536,0.5090252707581228,0.49097472924187724
1877.0,1753.0,2291.0,2359.0,2925.0,1100.0,27029,0.4503358925143954,0.5496641074856046,0.4263132295719844,0.5736867704280155,0.2732919254658385,0.7267080745341615
7084.0,6750.0,6862.0,6845.0,8191.0,4580.0,27115,0.507959271475692,0.492040728524308,0.4965060684075028,0.5034939315924972,0.3586250097878005,0.6413749902121996
2562.0,2494.0,2526.0,2517.0,2768.0,1814.0,27165,0.5035377358490566,0.4964622641509434,0.49770504889243666,0.5022949511075634,0.3958969882147534,0.6041030117852466
1184.0,939.0,2864.0,2895.0,3184.0,637.0,29057,0.2924901185770751,0.7075098814229249,0.24491392801251957,0.7550860719874805,0.16671028526563728,0.8332897147343628
3121.0,3111.0,5229.0,5049.0,5088.0,2556.0,28023,0.3737724550898204,0.6262275449101796,0.38125,0.61875,0.33437990580847726,0.6656200941915228
2609.0,2675.0,3071.0,2947.0,2334.0,1775.0,28097,0.459330985915493,0.5406690140845071,0.47580932052650304,0.524190679473497,0.4319785835969822,0.5680214164030177
8690.0,9079.0,7620.0,7629.0,7371.0,7300.0,28107,0.5328019619865113,0.46719803801348864,0.5433923868805363,0.45660761311946374,0.4975802603776157,0.5024197396223843
5003.0,4933.0,7678.0,7332.0,7385.0,3804.0,28137,0.3945272454853718,0.6054727545146282,0.4022013860578883,0.5977986139421116,0.3399767628921262,0.6600232371078738
6116.0,6603.0,5290.0,4941.0,4568.0,5221.0,28163,0.5362090128002805,0.46379098719971945,0.571985446985447,0.428014553014553,0.5333537644294616,0.46664623557053836
1970.0,1720.0,3563.0,3980.0,4268.0,1211.0,30089,0.35604554491234414,0.6439544550876559,0.3017543859649123,0.6982456140350877,0.2210257346231064,0.7789742653768936
3785.0,3378.0,8643.0,9278.0,10711.0,2809.0,37039,0.30455423237850016,0.6954457676214998,0.2669089759797724,0.7330910240202275,0.20776627218934912,0.7922337278106509
1204.0,1165.0,3785.0,3634.0,4372.0,832.0,21087,0.24133092804169173,0.7586690719583082,0.24275890810585538,0.7572410918941446,0.15987701767870868,0.8401229823212913
1622.0,1346.0,2890.0,3089.0,3570.0,887.0,21139,0.3594858156028369,0.6405141843971631,0.30349492671927847,0.6965050732807215,0.1990127888714382,0.8009872111285619
